Step.Sum
1020541,96
1020540,45
1020539,74
1020538,105
1020537,63
1020536,58
1020535,82
1020534,100
1020533,105
1020532,93
1020531,55
1020530,76
1020529,68
1020528,62
1020527,121
1020526,63
1020525,64
1020524,65
1020523,76
1020522,57
1020521,83
1020520,45
1020519,80
1020518,71
1020517,60
1020516,86
1020515,77
1020514,81
1020513,30
1020512,93
1020511,85
1020510,71
1020509,71
1020508,53
1020507,78
1020506,80
1020505,87
1020504,80
1020503,92
1020502,88
1020501,69
1020500,54
1020499,101
1020498,66
1020497,88
1020496,89
1020495,61
1020494,73
1020493,75
1020492,89
1020491,55
1020490,72
1020489,78
1020488,106
1020487,87
1020486,52
1020485,67
1020484,91
1020483,59
1020482,66
1020481,71
1020480,98
1020479,66
1020478,103
1020477,82
1020476,73
1020475,58
1020474,65
1020473,76
1020472,52
1020471,86
1020470,52
1020469,75
1020468,96
1020467,92
1020466,87
1020465,54
1020464,58
1020463,42
1020462,73
1020461,60
1020460,67
1020459,87
1020458,66
1020457,75
1020456,62
1020455,77
1020454,83
1020453,52
1020452,57
1020451,47
1020450,63
1020449,95
1020448,59
1020447,72
1020446,83
1020445,78
1020444,92
1020443,43
1020442,72
1020441,93
1020440,84
1020439,79
1020438,87
1020437,69
1020436,73
1020435,47
1020434,70
1020433,70
1020432,70
1020431,64
1020430,87
1020429,61
1020428,39
1020427,55
1020426,80
1020425,55
1020424,67
1020423,119
1020422,85
1020421,76
1020420,93
1020419,90
1020418,89
1020417,62
1020416,99
1020415,54
1020414,50
1020413,51
1020412,52
1020411,69
1020410,89
1020409,60
1020408,69
1020407,97
1020406,33
1020405,74
1020404,55
1020403,79
1020402,66
1020401,70
1020400,62
1020399,72
1020398,56
1020397,64
1020396,70
1020395,84
1020394,88
1020393,78
1020392,64
1020391,65
1020390,72
1020389,57
1020388,38
1020387,83
1020386,57
1020385,69
1020384,73
1020383,103
1020382,72
1020381,62
1020380,62
1020379,68
1020378,75
1020377,52
1020376,58
1020375,67
1020374,53
1020373,60
1020372,85
1020371,83
1020370,70
1020369,73
1020368,92
1020367,40
1020366,66
1020365,63
1020364,81
1020363,56
1020362,29
1020361,51
1020360,50
1020359,79
1020358,77
1020357,82
1020356,79
1020355,61
1020354,57
1020353,63
1020352,66
1020351,83
1020350,71
1020349,74
1020348,67
1020347,72
1020346,55
1020345,25
1020344,86
1020343,78
1020342,77
1020341,63
1020340,83
1020339,71
1020338,78
1020337,99
1020336,60
1020335,70
1020334,71
1020333,83
1020332,78
1020331,57
1020330,67
1020329,61
1020328,54
1020327,103
1020326,82
1020325,65
1020324,77
1020323,78
1020322,58
1020321,58
1020320,65
1020319,58
1020318,69
1020317,90
1020316,101
1020315,69
1020314,74
1020313,82
1020312,94
1020311,73
1020310,65
1020309,71
1020308,72
1020307,80
1020306,92
1020305,72
1020304,69
1020303,89
1020302,84
1020301,64
1020300,66
1020299,97
1020298,75
1020297,79
1020296,79
1020295,58
1020294,72
1020293,88
1020292,79
1020291,94
1020290,72
1020289,72
1020288,31
1020287,70
1020286,80
1020285,62
1020284,92
1020283,56
1020282,74
1020281,55
1020280,94
1020279,69
1020278,89
1020277,51
1020276,55
1020275,75
1020274,49
1020273,68
1020272,92
1020271,70
1020270,49
1020269,95
